Fecha,15067020,15067080,15067130,15067150,15067170,15067200,15067210,16037040,16047020,16067010,16067020,25027020,25027080,25027320,25027330,25027360,25027390,25027400,25027410,25027420,25027490,25027590,25027620,25027630,25027890,28017050,28017080,28017110,28017120,28017140,28017150,28027020,28027030,28027040,28027050,28027160,28037010,28037020,28037030,28037040,28037060,28037090,28037130,28047010,28047020,28047040,28047050,28047080,29067010,29067040,29067050,29067060,29067070,29067120,29067130,29067150,29067160
1981-11-01,14.47,3.6,,,,,,,,455.1,214.6,6686.0,,963.0,6062.0,3530.0,5731.0,262.9,6419.0,750.1,6132.0,99.8,145.0,4090.0,,23.29,,,,,,5.353,7.068,4.627,4.68,,7.58,,,,3.091,121.7,,28.73,2.514,4.975,,,39.47,5.522,15.89,46.16,,,30.22,38.87,
1981-12-01,7.113,2.24,,,,,,36.87,,392.9,212.6,5834.0,4.411,796.2,5290.0,3199.0,4987.0,233.5,5271.0,645.5,5153.0,58.5,112.8,3720.0,8.078,11.25,2.25,8.155,,,,1.598,2.482,0.972,1.57,5.23,1.532,6.061,27.45,1.559,2.35,58.72,6.59,21.95,1.96,2.658,21.14,,19.82,2.151,7.028,28.57,7.281,29.95,14.9,19.89,
1982-01-01,4.79,0.97,,,,,,30.54,71.74,242.9,130.7,3966.0,3.201,442.1,3797.0,2891.0,3465.0,166.8,3621.0,416.9,3374.0,55.19,54.31,3211.0,6.407,6.587,0.733,4.947,6.809,,,1.214,2.146,0.635,1.34,2.98,3.083,2.985,4.0,1.074,1.476,26.43,2.498,14.2,1.326,1.45,10.66,13.8,9.56,0.849,4.922,15.19,12.77,16.02,8.204,11.76,3.595
1982-02-01,4.006,0.66,,,,,,29.43,37.24,157.5,79.24,3269.0,2.052,288.8,3162.0,2613.0,2864.0,128.5,3256.0,261.0,2779.0,26.64,34.74,2810.0,3.241,5.016,0.468,4.061,6.162,,,0.256,2.133,0.776,1.34,3.071,2.392,1.467,3.1,0.673,1.908,10.05,1.9,16.01,1.474,1.255,7.751,15.2,13.5,1.372,2.846,15.42,14.04,21.82,4.341,7.95,2.123
1982-03-01,3.352,0.42,,,,,,12.88,33.45,117.1,67.46,3329.0,1.379,311.9,3217.0,2645.0,3007.0,122.1,3464.0,287.2,2867.0,13.56,35.44,2812.0,2.899,3.878,0.248,3.046,5.396,,,0.138,1.066,0.454,1.0,1.36,2.068,1.289,2.05,0.17,0.583,4.155,1.15,10.46,1.021,1.279,4.0,10.8,5.3,1.072,4.122,12.04,10.34,9.752,3.069,5.662,3.027
1982-04-01,3.684,0.42,,,,,,37.72,66.73,275.5,123.0,4941.0,1.978,608.3,4959.0,3118.0,4371.0,185.7,5806.0,575.2,4143.0,90.48,92.53,3319.0,6.291,9.296,0.36,9.152,9.554,,,0.904,4.514,2.348,2.95,13.44,2.688,2.073,20.46,0.955,2.29,41.28,2.32,17.61,1.605,1.0,15.6,16.4,13.12,1.693,7.049,19.59,11.02,21.26,11.67,12.77,5.103
1982-05-01,,2.45,,,,,,27.91,,372.4,216.4,7116.0,9.678,971.1,6353.0,3728.0,,251.9,6994.0,882.9,5610.0,126.9,,4023.0,7.817,35.47,4.338,,32.77,,,,,,14.63,,7.656,8.448,,,4.267,127.8,,25.89,1.282,4.911,27.1,21.8,29.66,3.439,4.918,32.37,7.16,45.61,35.22,30.12,3.592
1982-06-01,9.33,2.61,,,,,,16.21,59.45,246.9,115.1,7525.0,4.717,1080.0,6368.0,3660.0,,280.1,6307.0,884.3,5903.0,56.7,,4155.0,3.554,24.56,2.267,,23.09,,,,7.461,2.658,4.94,7.026,6.704,6.908,,,4.615,50.78,,27.35,2.401,,31.6,27.6,34.23,1.902,19.27,37.18,9.758,50.84,32.73,27.78,13.77
1982-07-01,5.987,1.43,,,,,,13.11,29.15,176.4,75.07,4085.0,1.041,558.0,3906.0,2880.0,3854.0,173.7,3272.0,446.4,3399.0,56.77,55.13,3311.0,1.647,11.41,1.138,7.434,10.64,,,1.098,2.812,0.791,1.8,7.463,2.441,2.138,30.3,1.61,0.663,28.29,2.014,17.84,1.628,3.421,15.9,15.93,17.31,2.504,12.03,20.84,11.85,27.42,13.65,15.15,8.634
1982-08-01,4.956,0.84,,,,,,10.09,21.55,127.8,58.97,2981.0,0.9,287.3,2900.0,2539.0,3816.0,162.3,2596.0,175.5,2517.0,36.08,26.12,3164.0,4.892,10.71,0.789,6.512,12.14,,,0.67,1.609,0.587,2.3,4.394,1.298,0.992,26.23,1.271,0.567,19.49,1.054,12.86,1.217,1.997,8.2,14.21,12.44,1.698,8.824,20.11,7.687,22.7,10.26,12.52,6.87
