Station,AggComposite,AggNina,AggNino,AggNeutral
28020460,1550.2716032557385,1702.109556378369,1210.8636363636363,1648.0268391012348
28020590,1242.6927465353992,1305.994944571774,1030.3628693328465,1326.7316395773553
28020600,1359.1389330872419,1492.1261850041121,1173.4890558364207,1376.5452872450032
28025020,1327.01068688356,1440.0607477048784,1139.845305392305,1359.7422649794864
28025040,1197.5704505305691,1407.2401018681335,1030.2939451408697,1148.366900080478
28025070,1578.654761904762,1810.3307692307692,1270.6545454545453,1599.5555555555557
28025080,1503.227546166179,1766.4645238324426,1177.1556377345116,1512.378117448785
28025090,1487.2523979629873,1754.912078703128,1225.5681917531829,1453.8607545566547
28030190,1119.7809523809524,1356.323076923077,942.0272727272727,1057.5722222222223
28030220,1028.3092148692183,1191.5577265106588,847.7881084903532,1020.7259659152619
28035010,1324.9777796191925,1551.0192491713283,1128.75789759349,1281.6377572916908
28035020,1173.5652675227166,1342.6600188380935,987.1662917840721,1165.3517656352271
28035040,1284.6256154394982,1444.3121947016125,1146.9017777037186,1253.4609868109474
28040010,2132.402298794164,2353.8076923076924,1658.5316613343132,2262.086015259858
28040030,1389.3746259408615,1642.4372810046048,1174.6173951564535,1337.8476827630739
28040060,1260.4953007912336,1272.9873498877462,1102.419870898011,1348.074916934055
28040070,1346.9985909580405,1444.0923076923077,1146.2921156832783,1399.5293082067583
28040100,1730.9092917447178,1907.397861477679,1646.1016412789381,1655.2722222222224
28040140,1158.4504719135284,1418.6061239237433,999.958891730361,1067.4162444625313
28040150,1385.9658246442305,1592.8192217683186,1148.790666132488,1381.5120791451202
28040170,1371.1869609533924,1527.3611090383229,1187.0911153943277,1370.8975374003705
28040200,1191.9286116662631,1307.241338216786,1113.311821757406,1156.6907918796314
28040270,1282.9356142648376,1454.2515917824758,1179.4601333812495,1222.4424243754022
28040300,1381.9678023478405,1474.0593262563173,1278.3451162135143,1378.7822321626957
28040310,1392.889913636235,1570.9903630812846,1170.3888347351842,1400.2346928098968
28040320,1494.588342771712,1638.5893968118128,1308.0498398053028,1504.5833333333333
28040350,1323.686937293397,1536.7962589478982,1115.5545454545454,1296.9666666666665
28040360,1494.298094487826,1665.7092283452837,1394.0,1431.7944444444445
28040400,1222.1365572768639,1322.8928291370876,1075.7237804512217,1238.8426134379288
28045010,1639.1035898955936,1920.1740422641726,1496.3445719823408,1523.3498852430516
29060030,1343.3929604737364,1637.6923076923076,1075.5933070253357,1294.4987757010133
29060040,1427.149689947567,1784.0298415116897,1068.0545454545454,1388.8499465636578
29060060,2571.310362253933,3164.309008043139,2005.4663726220679,2488.8271117367576
29060070,2382.8410648268327,2553.928777605756,2173.509090909091,2387.202811880675
29060090,1316.1874103891696,1312.7349755610262,1281.6993906809885,1339.7568475867165
29060100,1566.7380952380952,1727.0,1383.8181818181818,1562.7777777777778
29060120,363.23266479643814,536.3082654543463,252.74740819830004,305.75238779792227
29060140,1574.9578872238271,2167.0485587231337,1102.3363636363638,1436.1611111111113
29060150,1619.8903977170921,1904.089546093865,1341.8181818181818,1584.5684780498686
29060160,1004.8564971196574,1319.6284121828708,766.6363636363636,923.1001955915714
29060170,947.9220650194,1109.909748524215,712.2454545454545,974.9555555555556
29060180,1398.4513734029244,1825.363334957119,990.7485753163891,1339.2777777777778
29060190,1284.8558059114268,1539.6379111457836,935.4975339571214,1314.3432294364666
29060200,1435.0842740306086,1772.9618356467367,1073.9254499148237,1411.769760934162
29060210,837.2404584946635,1093.011230485388,623.8727272727273,782.9085144703232
29060220,1401.4812729461958,1855.6491537452787,997.6681524632342,1320.2458215531124
29060230,1236.9399957109742,1437.4389424961673,1026.4032140056977,1220.7965674082268
29060240,1252.2043767494285,1693.7316516474484,811.2806844280843,1202.7769346305695
29060250,997.6593311245431,1298.0650153242218,671.3636363636365,980.1025948897736
29060270,1044.9543281160459,1323.5796373354872,733.2747052787245,1034.195818747035
29060280,836.1910149311102,1005.4853942199887,682.3013675437184,807.9665255147705
29060290,1308.9247084725812,1740.5261441720063,858.2986778832968,1272.5951347164485
29060310,944.0489426186588,1429.4658146141285,598.7272727272727,804.5
29060330,1620.1823522559566,1917.627476335546,1213.0868684660677,1654.141447181185
29060340,2314.7364031328625,2500.072713591179,2083.2818181818184,2322.3268697163826
29060350,1266.4464149859527,1455.1868520229143,1011.5804859300249,1285.8852782156587
29060550,1145.1063867282828,1383.4388383322907,935.2092141848395,1101.2478882352705
29060560,1172.8959577729859,1314.269641020385,995.833268136151,1178.997719094597
29065010,1171.7570467076441,1326.2636022809272,1017.1618246201868,1154.6438367359412
29065020,1205.7658818924322,1500.792307692308,874.62597647851,1195.0545165676967
29065030,1414.7307340850555,1728.7631340603564,1065.6048247106658,1401.2842787205766
